wall_time	sim_time	avg_radius	avg_radius_ok	greater_96_ratio	tokkou_active	tokkou_cap	tokkou_ok	panic_ratio	cling_ratio	kaiten_ratio	run_ratio
2025-11-29 14:34:27	26.983	34.251	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:27	27.983	34.251	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:27	28.983	34.252	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:28	29.983	34.253	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:28	30.983	34.255	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:28	31.983	34.256	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:29	32.983	34.258	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:29	33.983	34.260	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:29	34.983	34.261	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:30	35.983	34.263	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:30	36.983	34.265	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:30	37.983	34.267	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:31	38.983	34.269	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:31	39.983	34.271	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:31	40.983	34.274	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:32	41.983	34.277	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:32	42.983	34.284	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:32	43.983	34.297	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:33	44.983	34.324	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:33	45.983	34.388	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:33	46.983	34.569	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:34	47.983	34.832	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:34	48.983	34.747	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:34	49.983	32.053	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:35	50.983	36.573	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:35	51.983	38.134	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:35	52.983	30.947	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:36	53.983	21.561	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:36	54.983	18.278	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:36	55.983	17.804	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:37	56.983	18.197	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:37	57.983	18.286	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:37	58.983	18.100	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:38	59.983	15.706	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:38	60.983	3.709	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:38	61.983	1.705	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:39	62.983	1.696	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:39	63.983	1.708	1	0.000	0	3	1	0.000	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:39	64.983	1.728	1	0.000	0	3	1	0.100	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:40	65.983	1.680	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:40	66.983	10.564	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:40	67.983	10.725	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:41	68.984	11.299	1	0.000	0	3	1	0.417	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:41	69.984	11.329	1	0.000	0	3	1	0.667	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:41	70.984	9.305	1	0.000	0	3	1	0.667	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:42	71.984	8.340	1	0.000	0	3	1	0.556	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:42	72.984	13.969	1	0.000	0	3	1	0.383	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:42	73.985	14.965	1	0.000	0	3	1	0.433	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:43	74.985	15.534	1	0.000	0	3	1	0.550	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:43	75.985	14.837	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:43	76.985	14.693	1	0.000	0	3	1	0.411	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:44	77.986	13.848	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:44	78.986	13.212	1	0.000	0	3	1	0.333	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:44	79.986	12.691	1	0.000	0	3	1	0.050	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:45	80.986	12.461	1	0.000	0	3	1	0.178	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:45	81.986	10.679	1	0.000	0	3	1	0.633	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:45	82.987	3.338	1	0.000	0	3	1	0.428	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:46	83.987	3.796	1	0.000	0	3	1	0.467	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:46	84.987	4.475	1	0.000	0	3	1	0.022	0.000	0.000	0.000	0.000	0.000
2025-11-29 14:34:46	85.987	4.675	1	0.000	0	3	1	0.356	0.000	0.000	0.000	0.000	0.000
